Query Number;Iteration;Document ID;Rank Position;Relevance Score;Model Run
47 0 2 1 18.709913243685055 bm25_run
47 0 298 2 12.827126622405297 bm25_run
47 0 494 3 12.06746409111834 bm25_run
47 0 1253 4 12.04100815858949 bm25_run
47 0 192 5 11.172734007169549 bm25_run
47 0 106 6 10.301263950369279 bm25_run
47 0 1084 7 10.196018527138351 bm25_run
47 0 445 8 9.875743120562543 bm25_run
47 0 1250 9 9.50039244299451 bm25_run
47 0 117 10 9.388897654319921 bm25_run
192 0 1 1 8.153263449643184 bm25_run
192 0 284 2 7.685496854071767 bm25_run
192 0 453 3 7.363453195211456 bm25_run
192 0 289 4 7.210292511989561 bm25_run
192 0 902 5 6.780140849078466 bm25_run
192 0 634 6 6.414117146304109 bm25_run
192 0 753 7 5.42147266806735 bm25_run
192 0 225 8 5.326398823771392 bm25_run
192 0 11 9 4.977409789694209 bm25_run
192 0 1206 10 4.661314521524722 bm25_run
