Query Number;Iteration;Document ID;Rank Position;Relevance Score;Model Run
47 0 2 1 -33.41301295307058 lm_run
47 0 298 2 -37.33235148431094 lm_run
47 0 1253 3 -39.06478519096853 lm_run
47 0 494 4 -39.78997621523701 lm_run
47 0 106 5 -40.3132713670871 lm_run
47 0 1084 6 -40.46261846992428 lm_run
47 0 389 7 -40.574050874356345 lm_run
47 0 1250 8 -41.24817855448445 lm_run
47 0 192 9 -41.25972956835643 lm_run
47 0 167 10 -41.28109853359419 lm_run
192 0 1 1 -10.11875290018034 lm_run
192 0 284 2 -10.442393362285049 lm_run
192 0 453 3 -10.621172969879671 lm_run
192 0 289 4 -10.688417225973271 lm_run
192 0 902 5 -11.030867856174158 lm_run
192 0 634 6 -11.92103802314315 lm_run
192 0 225 7 -11.929952939033155 lm_run
192 0 1380 8 -12.37164798818231 lm_run
192 0 11 9 -12.403707137296962 lm_run
192 0 753 10 -12.42170003553382 lm_run
